cpse,legacy_code,description,category,specification,uom
CIL,CIL/CBL/1601,HT Cable 3Cx300 11kV,Cable,3Cx300 Al XLPE 11kV,NOS
NTPC,NTPC/VLV/1711,Foot Valve 100mm CI RF,Valve,"CI, Flanged, With strainer",EA
CIL,CIL-PIP-1607,CS Pipe 150mm NB Sch80,Pipe,"150 NB, Sch80, API 5L",NOS
CIL,CIL_PMP_1614,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",SET
CPCL,CPCL-CBL-1753,HT Cable 3Cx300 11kV,Cable,3Cx300 Al XLPE 11kV,NOS
SAIL,SAIL/VLV/1650,Check Valve 150mm CS Class 150,Valve,"CS, NACE, Flanged",PCS
CIL,CIL/PMP/1616,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",PCS
IOCL,IOCL/VLV/1614,Plug Valve 4 Inch Carbon Steel PTFE,Valve,"CS+PTFE sleeve, 150#",PCS
NTPC,NTPC_VLV_1715,Needle Valve 25mm SS316 6000psi RF,Valve,"SS316, 6000 psi, NPT",NOS
ONGC,ONGC/PMP/1712,"VERTICAL, TURBINE PUMP 200MM",Pump,"200mm column, 75kW",EA
IOCL,IOCL_PIP_1617,SS316 Pipe 2 Inch NB Sch40,Pipe,"50 NB, Sch40, Seamless",NOS
CIL,CIL/VLV/1623,Globe VLV 65mm CS 150#,Valve,"CS, 150#, Flanged",PCS
ONGC,ONGC_PIP_1718,"HDPE, PIPE 110MM PN10",Pipe,"110mm OD, PN10, PE100",
CIL,CIL/FLG/1625,"Slipon, Flange 80mm PN16",Flange,"80 NB, PN16, MS",EA
CPCL,CPCL/VLV/1755,"Globe, Valve 65 MM CS 150#",Valve,"CS, 150#, Flanged",
NTPC,NTPC_VLV_1720,"Ball, Valve 80mm SS304 Class 300 RF",Valve,"SS304, Class 300, Screwed",PCS
IOCL,IOCL-PMP-1623,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",SET
IOCL,IOCL_PIP_1624,SS316 Pipe 2 Inch NB Sch40,Pipe,"50 NB, Sch40, Seamless",M
CPCL,CPCL/CBL/1757,Control Cable 12Cx2.5sq MM,Cable,"12Cx2.5 Cu, Unarm",
CPCL,CPCL-FLG-1761,Slipon Flange 80 MM PN16,Flange,"80 NB, PN16, MS",PCS
SAIL,SAIL_PMP_1652,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",NOS
IOCL,IOCL_VLV_1629,Plug Valve 4 Inch Carbon Steel PTFE,Valve,"CS+PTFE sleeve, 150#",EA
SAIL,SAIL_PMP_1656,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",SET
CIL,CIL-MTR-1627,DC Motor 5kW 1500rpm,Motor,"5kW, 220V DC",PCS
CPCL,CPCL_BRG_1767,Taper Roller Bearing 32210,Bearing,50x90x24.75,PCS
NTPC,NTPC-VLV-1725,Plug Vlve 100mm CS PTFE RF,Valve,"CS+PTFE sleeve, 150#",EA
CPCL,CPCL/VLV/1770,Gate Valve 200 MM CI PN10,Valve,"CI, PN10, Flanged",NOS
IOCL,IOCL-VLV-1630,Gate Valve 12 Inch Carbon Steel 300#,Valve,"CS, 300#, RTJ",EA
ONGC,ONGC_PMP_1724,GEAR PUMP 2INCH CI,Pump,"2 inch, CI, 1440rpm",EA
NTPC,NTPC_VLV_1732,Safety Relief Valve 50mm SS RF,Valve,"SS, Set 10 barg, Flanged",PCS
NTPC,NTPC-PMP-1735,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",SET
CIL,CIL_PMP_1630,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",SET
CPCL,CPCL/VLV/1775,Foot Valve 100 MM CI,Valve,"CI, Flanged, With strainer",EA
IOCL,IOCL-BRG-1637,Deep Groove Ball Bearing 6205,Bearing,"25x52x15, SKF/equiv",EA
CIL,CIL-PMP-1631,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",SET
ONGC,ONGC_PMP_1728,MULTISTAGE PUMP 65X50 30KW,Pump,"65x50, 30kW, 8 stage",SET
CIL,CIL-VLV-1636,BALL  VLV 80mm SS304 Class 300,Valve,"SS304, Class 300, Screwed",
CIL,CIL_PMP_1643,Submersible Pump 10HP 100mm,Pump,"10HP, 100mm bore, 3ph",SET
SAIL,SAIL-PMP-1658,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",EA
NTPC,NTPC/PMP/1736,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",SET
NTPC,NTPC-VLV-1738,Gate Valve 100mm CS Class 150 RF,Valve,"CS, 150#, Flanged",PCS
CIL,???,BALL VLV 80mm SS304 Class 300,Valve,"SS304, Class 300, Screwed",PCS
CPCL,CPCL/PMP/1776,Slurry Pump 100 MM HNBR,,"100mm, HNBR lined",SET
SAIL,SAIL/GSK/1660,Ring Joint Gasket R37 AISI 316,,"R37, Octagonal, SS316",NOS
NTPC,NTPC/VLV/1741,Plug Valve 100mm CS PTFE RF,Valve,"CS+PTFE sleeve, 150#",NOS
CIL,CIL-FST-1646,Hex Bolt M20x80 8.8 HDG,,"M20x80, Gr 8.8, HDG+nut",EA
ONGC,ONGC-PMP-1729,MULTISTAGE PUMP 65X50 30KW,Pump,"65x50, 30kW, 8 stage",EA
NTPC,NTPC-BRG-1744,Needle Roller Bearing NK45/35,Bearing,45x55x35,EA
NTPC,NTPC/VLV/1750,Ball Valve 50mm Brass Screwed RF,Valve,"Brass, Screwed BSP",NOS
SAIL,SAIL-BRG-1666,Deep Groove Ball Bearng 6205,Bearing,"25x52x15, SKF/equiv",NOS
NTPC,NTPC/VLV/1753,Gate Valve 150mm CS 300# RF,Valve,"CS, 300#, RTJ",EA
IOCL,IOCL/PMP/1638,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",PCS
ONGC,ONGC_PIP_1734,MS PIPE 100MM NB ERW,Pipe,"100 NB, ERW, 6m",MTR
ONGC,ONGC-FLG-1737,SLIPON  FLANGE 80MM PN16,Flange,"80 NB, PN16, MS",NOS
NTPC,NTPC_VLV_1759,Needle Valve 25mm SS316 6000psi RF,Valve,"SS316, 6000 psi, NPT",NOS
ONGC,ONGC/MTR/1740,INDUCTION MOTOR 15KW 4P IE3,Motor,"15kW, 4P, 415V, IE3",EA
IOCL,IOCL_VLV_1639,Foot Vlve 4 Inch CI,Valve,"CI, Flanged, With strainer",PCS
NTPC,NTPC/PMP/1763,Submersible Pump 10HP 100mm,Pump,"10HP, 100mm bore, 3ph",EA
IOCL,IOCL/PMP/1645,Submersible Pump 10HP 4 Inch,Pump,"10HP, 100mm bore, 3ph",EA
ONGC,ONGC-PMP-1745,"DIAPHRAGM, DOSING PUMP 0-100LPH",Pump,"0-100 LPH, PP head",NOS
CIL,CIL-FLG-1647,Slipon Flange 80mm PN16,Flange,"80 NB, PN16, MS",PCS
SAIL,SAIL-PMP-1667,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",NOS
SAIL,SAIL/PMP/1670,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",PCS
SAIL,SAIL_VLV_1672,Gate Valve 50mm AISI 316 PN40,Valve,"SS316, PN40, Flanged RF",NOS
CIL,CIL/FLG/1654,WN Flange 100mm 150# CS,Flange,"100 NB, 150#, A105",EA
SAIL,???,Vertical Turbine Pump 200mm,Pump,"200mm column, 75kW",EA
SAIL,SAIL_VLV_1686,Needle Valve 25mm AISI 316 6000psi,Valve,"SS316, 6000 psi, NPT",EA
CPCL,CPCL-PMP-1781,Submersible Pump 10HP 100 MM,Pump,"10HP, 100mm bore, 3ph",SET
CPCL,CPCL-VLV-1784,Globe Valve 65 MM CS 150#,Valve,"CS, 150#, Flanged",PCS
CIL,CIL/BRG/1659,Plummer Block UCP210,Bearing,"50mm bore, CI housing",EA
NTPC,NTPC/VLV/1766,Gate Valve 150mm CS 300# RF,,"CS, 300#, RTJ",EA
CPCL,CPCL_PMP_1785,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",SET
CIL,CIL-PIP-1664,SS316 Pipe 50mm NB Sch40,Pipe,"50 NB, Sch40, Seamless",M
NTPC,NTPC_PMP_1768,Submersible Pump 10HP 100mm,Pump,"10HP, 100mm bore, 3ph",EA
IOCL,IOCL-VLV-1647,Gate Valve 2 Inch SS316 PN40,Valve,"SS316, PN40, Flanged RF",PCS
IOCL,IOCL/GSK/1654,Spiral Wound Gasket 4in 150#,Gasket,"4in, 150#, SS316+Graphite",PCS
CIL,CIL_VLV_1665,BALL VLV 80mm SS304 Class 300,Valve,"SS304, Class 300, Screwed",PCS
NTPC,NTPC-VLV-1775,Foot Vlve 100mm CI RF,Valve,"CI, Flanged, With strainer",PCS
CIL,CIL-PMP-1672,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",NOS
IOCL,IOCL/PIP/1659,GI Pipe 25mm Medium,Pipe,"25mm, Medium, IS1239",MTR
CPCL,CPCL-PIP-1786,GI Pipe 25 MM Medium,Pipe,"25mm, Medium, IS1239",MTR
IOCL,IOCL-MTR-1661,Flameproof Motor 30kW Exd,Motor,"30kW, Exd IIB, 415V",NOS
CIL,CIL-VLV-1678,Knife GATE VLV 250mm SS,Valve,"SS gate, PN10, Lug",NOS
CPCL,CPCL/PMP/1787,Submersible - Pump 10HP 100 MM,Pump,"10HP, 100mm bore, 3ph",SET
SAIL,SAIL-BRG-1690,Taper Roller Bearing 32210,Bearing,50x90x24.75,PCS
CPCL,CPCL/PMP/1793,Vertical Turbine Pump 200 MM,Pump,"200mm column, 75kW",EA
CIL,CIL/VLV/1680,Plug VLV 100mm CS PTFE,Valve,"CS+PTFE sleeve, 150#",NOS
SAIL,SAIL/PIP/1696,CS Pipe 150mm NB Sch80,Pipe,"150 NB, Sch80, API 5L",MTR
CPCL,CPCL_BRG_1797,Plu MMer Block UCP210,Bearing,"50mm bore, CI housing",EA
IOCL,IOCL/PMP/1666,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",EA
NTPC,???,Slurry Pump 100mm HNBR,Pump,"100mm, HNBR lined",SET
ONGC,ONGC-FLG-1749,WN FLANGE 100MM 150# CS,Flange,"100 NB, 150#, A105",NOS
IOCL,IOCL_VLV_1668,Gate Valve 2 Inch SS316 PN40,Valve,"SS316, PN40, Flanged RF",NOS
CIL,CIL_VLV_1684,GATE VLV 150mm CS 300#,Valve,"CS, 300#, RTJ",EA
SAIL,SAIL-VLV-1703,"Plug, Valve 100mm CS PTFE",Valve,"CS+PTFE sleeve, 150#",EA
IOCL,IOCL_GSK_1672,Spiral Wound Gasket 4in 150#,Gasket,"4in, 150#, SS316+Graphite",NOS
CPCL,CPCL_VLV_1803,Butterfly Valve 200 MM CI PN16,Valve,"CI, PN16, Wafer",EA
IOCL,IOCL/VLV/1673,Knife Gate Valve 22 Inch SS,Valve,"SS gate, PN10, Lug",NOS
SAIL,SAIL-FLG-1709,Slipon Flange 80mm PN16,Flange,"80 NB, PN16, MS",EA
IOCL,IOCL_PMP_1677,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",NOS
ONGC,ONGC/FLG/1753,WN FLANGE 100MM 150# CS,Flange,"100 NB, 150#, A105",EA
CPCL,CPCL/BRG/1805,Taper Roller Bearing 32210,Bearing,50x90x24.75,NOS
IOCL,IOCL-PMP-1682,Slurry Pump 4 Inch HNBR,,"100mm, HNBR lined",SET
IOCL,IOCL-PMP-1683,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",EA
NTPC,NTPC-BRG-1785,Spherical Roller Bearng 22218,Bearing,90x160x40,
IOCL,IOCL_FLG_1687,Blind Flange 2 Inch 300# SS316,Flange,"50 NB, 300#, SS316",EA
CIL,CIL-VLV-1689,Diaphragm VLV 80mm PP,Valve,"PP body, EPDM diaphragm",EA
CPCL,CPCL/BRG/1811,Deep Groove Ball Bearing 6205,Bearing,"25x52x15, SKF/equiv",NOS
CIL,CIL_BRG_1696,Needle Roller BRG NK45/35,Bearing,45x55x35,NOS
SAIL,SAIL/VLV/1712,Needle Valve 25mm AISI 316 6000psi,Valve,"SS316, 6000 psi, NPT",NOS
CIL,CIL-VLV-1700,BALL VLV 50mm Brass Screwed,Valve,"Brass, Screwed BSP",NOS
NTPC,NTPC/VLV/1787,Gate  Valve 100mm CS Class 150 RF,Valve,"CS, 150#, Flanged",PCS
NTPC,NTPC-VLV-1790,Gate Valve 200mm CI PN10 RF,Valve,"CI, PN10, Flanged",EA
NTPC,NTPC/VLV/1794,Butterfly Valve 200mm CI PN16 RF,Valve,"CI, PN16, Wafer",NOS
ONGC,ONGC/PIP/1756,HDPE PIPE 110MM PN10,Pipe,"110mm OD, PN10, PE100",M
SAIL,SAIL-MTR-1715,DC Motor 5kW 1500rpm,Motor,"5kW, 220V DC",PCS
ONGC,ONGC-PIP-1762,MS PIPE 100MM NB ERW,Pipe,"100 NB, ERW, 6m",NOS
ONGC,ONGC_PIP_1764,GI PIPE 25MM MEDIUM,Pipe,"25mm, Medium, IS1239",M
CPCL,CPCL_PIP_1817,MS Pipe 100 MM NB ERW,Pipe,"100 NB, ERW, 6m",M
NTPC,NTPC/BRG/1796,Needle Roller Bearing NK45/35,Bearing,45x55x35,EA
CIL,CIL/VLV/1703,Butterfly VLV 200mm CI PN16,Valve,"CI, PN16, Wafer",EA
SAIL,SAIL/PIP/1720,MS Pipe 100mm NB ERW,Pipe,"100 NB, ERW, 6m",MTR
ONGC,ONGC_PMP_1765,GEAR PUMP 2INCH CI,Pump,"2 inch, CI, 1440rpm",EA
NTPC,NTPC/VLV/1800,"Ball, Valve 80mm SS304 Class 300 RF",Valve,"SS304, Class 300, Screwed",PCS
NTPC,NTPC/VLV/1807,Gate Valve 100mm CS Class 150 RF,Valve,"CS, 150#, Flanged",EA
IOCL,IOCL/BRG/1691,Taper Roller Bearing 32210,Bearing,50x90x24.75,PCS
IOCL,IOCL_PIP_1696,"GI, Pipe 25mm Medium",Pipe,"25mm, Medium, IS1239",MTR
CIL,CIL-PMP-1704,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",EA
CIL,CIL_GSK_1709,Ring Joint Gasket R37 SS316,Gasket,"R37, Octagonal, SS316",NOS
CIL,CIL-BRG-1710,Plummer Block UCP210,Bearing,"50mm bore, CI housing",NOS
SAIL,SAIL-GSK-1723,Ring Joint Gasket R37 AISI 316,Gasket,"R37, Octagonal, SS316",NOS
ONGC,ONGC_BRG_1768,NEEDLE ROLLER BEARING NK45/35,Bearing,45x55x35,NOS
CPCL,CPCL_VLV_1821,Diaphragm Valve 80 MM PP,Valve,"PP body, EPDM diaphragm",NOS
SAIL,SAIL/VLV/1727,Ball Valve 80mm AISI 304 Class 300,Valve,"SS304, Class 300, Screwed",EA
SAIL,SAIL-BRG-1734,Plummer Block UCP210,Bearing,"50mm bore, CI housing",NOS
NTPC,NTPC_VLV_1814,"Knife, Gate Valve 250mm SS RF",Valve,"SS gate, PN10, Lug",PCS
CPCL,CPCL-PIP-1823,MS Pipe 100 MM NB ERW,Pipe,"100 NB, ERW, 6m",M
CPCL,???,DC Motor 5kW 1500rpm,Motor,"5kW, 220V DC",PCS
IOCL,IOCL_BRG_1699,Thrust Ball Bearing 51108,Bearing,40x60x13,EA
ONGC,ONGC-FLG-1772,BLIND FLANGE 50MM 300# SS316,Flange,"50 NB, 300#, SS316",
CIL,CIL-VLV-1713,Diaphragm VLV 80mm PP,Valve,"PP body, EPDM diaphragm",PCS
CIL,CIL_CBL_1714,Control Cable 12Cx2.5sqmm,Cable,"12Cx2.5 Cu, Unarm",M
CPCL,CPCL-CBL-1831,HT Cable 3Cx300 11kV,Cable,3Cx300 Al XLPE 11kV,MTR
NTPC,NTPC/VLV/1820,Check Valve 150mm CS Class 150 RF,Valve,"CS, NACE, Flanged",PCS
ONGC,ONGC-FLG-1777,BLIND FLANGE 50MM 300# SS316,Flange,"50 NB, 300#, SS316",NOS
ONGC,ONGC/VLV/1779,GLOBE VALVE 65MM CS 150#,Valve,"CS, 150#, Flanged",PCS
CPCL,CPCL-BRG-1838,Spherical Roller Bearing 22218,Bearing,90x160x40,PCS
CPCL,CPCL-PMP-1844,Vertical  Turbine Pump 200 MM,Pump,"200mm column, 75kW",SET
CPCL,CPCL-VLV-1845,Safety Relief Valve 50 MM SS,Valve,"SS, Set 10 barg, Flanged",NOS
ONGC,ONGC_PMP_1783,SLURRY PUMP 100MM HNBR,Pump,"100mm, HNBR lined",SET
NTPC,NTPC/VLV/1822,Ball Valve 50mm Brass Screwed RF,Valve,"Brass, Screwed BSP",NOS
ONGC,ONGC/VLV/1786,GATE VALVE 50MM SS316 PN40,,"SS316, PN40, Flanged RF",PCS
ONGC,ONGC_VLV_1787,BALL VALVE 80MM SS304 CL 300,Valve,"SS304, Class 300, Screwed",NOS
IOCL,IOCL-PMP-1701,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",NOS
ONGC,ONGC_PMP_1792,DIAPHRAGM DOSING PUMP 0-100LPH,Pump,"0-100 LPH, PP head",EA
IOCL,IOCL_FLG_1703,Slipon Flange 3 Inch PN16,Flange,"80 NB, PN16, MS",PCS
CPCL,CPCL_GSK_1847,Spiral Wound Gasket 4in 150#,Gasket,"4in, 150#, SS316+Graphite",EA
CPCL,CPCL/FLG/1852,WN Flange 100 MM 150# CS,Flange,"100 NB, 150#, A105",EA
NTPC,NTPC_BRG_1823,Spherical Roller Bearing 22218,Bearing,90x160x40,EA
SAIL,SAIL-VLV-1735,Knife Gate Valve 250mm SS,Valve,"SS gate, PN10, Lug",EA
IOCL,IOCL-VLV-1706,Ball Valve 2 Inch Brass Screwed,Valve,"Brass, Screwed BSP",EA
NTPC,NTPC-PIP-1826,GI Pipe 25mm Medium,Pipe,"25mm, Medium, IS1239",NOS
SAIL,SAIL_VLV_1740,Gate Valve 200mm CI PN10,Valve,"CI, PN10, Flanged",EA
CPCL,CPCL/GSK/1853,Ring Joint Gasket R37 SS316,Gasket,"R37, Octagonal, SS316",EA
SAIL,SAIL-PMP-1744,Diaphragm Dosing Pump 0-100LPH,,"0-100 LPH, PP head",
ONGC,ONGC-VLV-1795,BALL VALVE 80MM SS304 CL 300,Valve,"SS304, Class 300, Screwed",EA
ONGC,ONGC/MTR/1802,DC  MOTOR 5KW 1500RPM,Motor,"5kW, 220V DC",PCS
CPCL,CPCL/VLV/1854,Check Valve 150 MM CS CL 150,Valve,"CS, NACE, Flanged",EA
ONGC,ONGC-VLV-1807,BALL VALVE 50MM BRASS SCREWED,Valve,"Brass, Screwed BSP",NOS
CIL,CIL-PMP-1716,Vertical Turbine Pump 200mm,Pump,"200mm column, 75kW",SET
ONGC,ONGC-MTR-1814,FLAMEPROOF MOTOR 30KW EXD,Motor,"30kW, Exd IIB, 415V",EA
CPCL,CPCL/PMP/1859,Vertical Turbine Pump 200 MM,Pump,"200mm column, 75kW",EA
CPCL,CPCL_VLV_1866,Gate Valve 150 MM CS 300#,Valve,"CS, 300#, RTJ",NOS
NTPC,NTPC/VLV/1829,Knife Gate Valve 250mm SS RF,Valve,"SS gate, PN10, Lug",PCS
CPCL,CPCL-PMP-1873,Submersible Pump 10HP 100 MM,Pump,"10HP, 100mm bore, 3ph",SET
CIL,CIL/PMP/1723,Submersible Pump 10HP 100mm,Pump,"10HP, 100mm bore, 3ph",SET
SAIL,SAIL/BRG/1751,Plummer Block UCP210,Bearing,"50mm bore, CI housing",PCS
IOCL,IOCL/BRG/1710,Needle Roller Bearing NK45/35,Bearing,45x55x35,PCS
IOCL,IOCL_CBL_1717,XLPE Cable 3Cx120sqmm 1.1kV,Cable,"3Cx120, Al, Armoured",NOS
ONGC,ONGC/CBL/1816,CONTROL CABLE 12CX2.5SQMM,Cable,"12Cx2.5 Cu, Unarm",MTR
SAIL,SAIL-CBL-1753,HT - Cable 3Cx300 11kV,Cable,3Cx300 Al XLPE 11kV,M
ONGC,ONGC_VLV_1820,GATE VALV 150MM CS 300#,Valve,"CS, 300#, RTJ",NOS
SAIL,SAIL-VLV-1757,Knife Gate Valve 250mm SS,Valve,"SS gate, PN10, Lug",PCS
ONGC,ONGC-PMP-1822,MULTISTAGE PUMP 65X50 30KW,Pump,"65x50, 30kW, 8 stage",SET
NTPC,NTPC_CBL_1836,"XLPE, Cable 3Cx120sqmm 1.1kV",Cable,"3Cx120, Al, Armoured",M
CIL,CIL-VLV-1729,GATE VLV 150mm CS 300#,Valve,"CS, 300#, RTJ",EA
CIL,CIL_VLV_1732,Foot VLV 100mm CI,Valve,"CI, Flanged, With strainer",NOS
CIL,CIL-PIP-1735,SS316 Pipe 50mm NB Sch40,Pipe,"50 NB, Sch40, Seamless",MTR
ONGC,ONGC_PIP_1826,GI PIPE 25MM MEDIUM,Pipe,"25mm, Medium, IS1239",MTR
SAIL,SAIL-BRG-1760,Spherical Roller Bearing 22218,Bearing,90x160x40,PCS
CIL,CIL_VLV_1739,GATE VLV 100mm CS Class 150,Valve,"CS, 150#, Flanged",NOS
ONGC,ONGC_BRG_1829,THRUST BALL BEARING 51108,Bearing,40x60x13,EA
SAIL,SAIL_VLV_1763,Gate Valve 50mm AISI 316 PN40,Valve,"SS316, PN40, Flanged RF",PCS
CIL,CIL/PIP/1742,SS316 Pipe 50mm NB Sch40,Pipe,"50 NB, Sch40, Seamless",MTR
CIL,CIL-GSK-1748,Spiral - Wound Gasket 4in 150#,Gasket,"4in, 150#, SS316+Graphite",EA
SAIL,SAIL/CBL/1769,Control Cable 12Cx2.5sqmm,Cable,"12Cx2.5 Cu, Unarm",M
ONGC,ONGC/PMP/1835,SLURRY PUMP 100MM HNBR,Pump,"100mm, HNBR lined",SET
CPCL,CPCL_VLV_1877,Ball  Valve 80 MM SS304 CL 300,Valve,"SS304, Class 300, Screwed",NOS
CIL,CIL/MTR/1752,Induction Motor 15kW 4P IE3,,"15kW, 4P, 415V, IE3",NOS
SAIL,SAIL-MTR-1772,DC - Motor 5kW 1500rpm,Motor,"5kW, 220V DC",EA
CPCL,CPCL_PIP_1882,SS316 Pipe 50 MM NB Sch40,Pipe,"50 NB, Sch40, Seamless",NOS
IOCL,IOCL/MTR/1718,Flameproof Motor 30kW Exd,Motor,"30kW, Exd IIB, 415V",NOS
NTPC,NTPC/PMP/1837,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",EA
SAIL,SAIL-PMP-1775,Submersible  Pump 10HP 100mm,Pump,"10HP, 100mm bore, 3ph",EA
CIL,CIL/VLV/1754,GATE VLV 100mm CS Class 150,Valve,"CS, 150#, Flanged",NOS
CIL,CIL/PMP/1758,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",EA
ONGC,ONGC-MTR-1839,DC MOTOR 5KW 1500RPM,Motor,"5kW, 220V DC",NOS
IOCL,IOCL/VLV/1723,Diaphragm Valve 3 Inch PP,Valve,"PP body, EPDM diaphragm",EA
NTPC,NTPC-VLV-1838,Foot Valve 100mm CI RF,Valve,"CI, Flanged, With strainer",EA
CPCL,CPCL/VLV/1888,Gate Valve 150 MM CS 300#,Valve,"CS, 300#, RTJ",EA
CIL,CIL_BRG_1760,Thrust BALL BRG 51108,Bearing,40x60x13,PCS
IOCL,IOCL_BRG_1726,Spherical Roller Bearing 22218,Bearing,90x160x40,NOS
IOCL,IOCL_PIP_1727,HDPE Pipe 110mm PN10,Pipe,"110mm OD, PN10, PE100",MTR
NTPC,NTPC/CBL/1839,XLPE Cable 3Cx120sqmm 1.1kV,Cable,"3Cx120, Al, Armoured",M
CPCL,CPCL/PMP/1894,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",PCS
CIL,CIL_VLV_1762,BALL VLV 50mm Brass Screwed,Valve,"Brass, Screwed BSP",PCS
ONGC,ONGC/CBL/1843,CONTROL CABLE 12CX2.5SQMM,Cable,"12Cx2.5 Cu, Unarm",NOS
NTPC,NTPC/BRG/1842,Taper Roller Bearing 32210,,50x90x24.75,NOS
CIL,CIL/CBL/1763,XLPE Cable 3Cx120sqmm 1.1kV,Cable,"3Cx120, Al, Armoured",MTR
CPCL,CPCL_VLV_1901,Safety Relief Valve 50 MM SS,Valve,"SS, Set 10 barg, Flanged",EA
CIL,CIL_PIP_1769,MS Pipe 100mm NB ERW,Pipe,"100 NB, ERW, 6m",NOS
CIL,CIL-VLV-1773,Needle VLV 25mm SS316 6000psi,Valve,"SS316, 6000 psi, NPT",PCS
CIL,CIL_VLV_1780,Needle VLV 25mm SS316 6000psi,Valve,"SS316, 6000 psi, NPT",PCS
SAIL,SAIL-VLV-1779,Globe Valve 65mm CS 150#,Valve,"CS, 150#, Flanged",
NTPC,NTPC/PIP/1846,MS Pipe 100mm NB ERW,Pipe,"100 NB, ERW, 6m",MTR
IOCL,IOCL/VLV/1731,Butterfly Valve 8 Inch CI PN16,Valve,"CI, PN16, Wafer",EA
NTPC,NTPC_FLG_1851,Blind Flange 50mm 300# SS316,Flange,"50 NB, 300#, SS316",NOS
CIL,CIL-VLV-1782,Knife GATE VLV 250mm SS,Valve,"SS gate, PN10, Lug",NOS
NTPC,NTPC-VLV-1858,Globe Valve 65mm CS 150# RF,Valve,"CS, 150#, Flanged",EA
IOCL,IOCL/VLV/1734,Knife Gate Valve 22 Inch SS,Valve,"SS gate, PN10, Lug",PCS
CIL,CIL-PMP-1786,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",NOS
SAIL,SAIL-PMP-1786,Slurry Pump 100mm HNBR,Pump,"100mm, HNBR lined",EA
SAIL,SAIL/MTR/1787,Flameproof Motor 30kW Exd,Motor,"30kW, Exd IIB, 415V",NOS
CPCL,CPCL/VLV/1904,Gate Valve 50 MM SS316 PN40,Valve,"SS316, PN40, Flanged RF",PCS
SAIL,SAIL_PIP_1794,AISI 316 Pipe 50mm NB Sch40,Pipe,"50 NB, Sch40, Seamless",NOS
ONGC,ONGC_PMP_1846,DIAPHRAGM DOSING PUMP 0-100LPH,Pump,"0-100 LPH, PP head",NOS
ONGC,ONGC_VLV_1853,"GATE, VALVE 100MM CS CL 150",Valve,"CS, 150#, Flanged",NOS
ONGC,ONGC_PIP_1858,HDPE PIPE 110MM PN10,Pipe,"110mm OD, PN10, PE100",NOS
NTPC,NTPC-VLV-1863,Safety Relief Valve 50mm SS RF,Valve,"SS, Set 10 barg, Flanged",PCS
NTPC,NTPC/PMP/1869,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",EA
ONGC,ONGC-CBL-1865,XLPE CABLE 3CX120SQMM 1.1KV,Cable,"3Cx120, Al, Armoured",NOS
ONGC,ONGC_GSK_1869,SPIRAL WOUND GASKET 4IN 150#,Gasket,"4in, 150#, SS316+Graphite",NOS
SAIL,SAIL/CBL/1797,XLPE Cable 3Cx120sqmm 1.1kV,Cable,"3Cx120, Al, Armoured",MTR
ONGC,ONGC_PMP_1875,SUBMERSIBLE PUMP 10HP 100MM,,"10HP, 100mm bore, 3ph",SET
ONGC,ONGC-VLV-1879,GATE VALV 150MM CS 300#,Valve,"CS, 300#, RTJ",NOS
CPCL,CPCL_PIP_1908,CS - Pipe 150 MM NB Sch80,Pipe,"150 NB, Sch80, API 5L",MTR
CIL,CIL-VLV-1789,GATE VLV 200mm CI PN10,Valve,"CI, PN10, Flanged",NOS
CIL,CIL/PIP/1792,CS Pipe 150mm NB Sch80,Pipe,"150 NB, Sch80, API 5L",NOS
SAIL,SAIL-CBL-1798,XLPE Cable 3Cx120sqmm 1.1kV,Cable,"3Cx120, Al, Armoured",MTR
ONGC,ONGC-VLV-1886,GATE VALVE 100MM CS CL 150,Valve,"CS, 150#, Flanged",EA
